system:index,image_count,mean_ndvi,month,state,year,.geo
0,10,0.28259084025867276,1.0,Tamil Nadu,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,16,0.2793401092889468,2.0,Tamil Nadu,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,23,0.1771126712567278,3.0,Tamil Nadu,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2,0.12676830279877055,4.0,Tamil Nadu,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1,0.38181795024371223,5.0,Tamil Nadu,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,4,0.18119456345425516,6.0,Tamil Nadu,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,8,0.11991650965756687,7.0,Tamil Nadu,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,,8.0,Tamil Nadu,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1,0.26666127651078625,9.0,Tamil Nadu,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1,0.40672199175623597,10.0,Tamil Nadu,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1,0.4437055010906232,11.0,Tamil Nadu,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,154,0.31066371407866644,12.0,Tamil Nadu,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,272,0.3406417936692426,1.0,Tamil Nadu,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,247,0.2781492259983638,2.0,Tamil Nadu,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,256,0.2745381847376175,3.0,Tamil Nadu,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,255,0.22265903998147474,4.0,Tamil Nadu,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,270,0.24770581393894334,5.0,Tamil Nadu,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,254,0.1945143880217589,6.0,Tamil Nadu,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,257,0.1713892530934608,7.0,Tamil Nadu,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,254,0.15964489291042255,8.0,Tamil Nadu,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,259,0.1998208945558514,9.0,Tamil Nadu,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,285,0.20093846462610115,10.0,Tamil Nadu,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,257,0.2679285355838049,11.0,Tamil Nadu,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,256,0.2733122966051372,12.0,Tamil Nadu,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,284,0.3889832951979076,1.0,Tamil Nadu,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,241,0.3271886922506685,2.0,Tamil Nadu,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,271,0.26072665059839184,3.0,Tamil Nadu,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,261,0.2546213221277989,4.0,Tamil Nadu,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,259,0.23106240991729765,5.0,Tamil Nadu,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,268,0.19608058882383178,6.0,Tamil Nadu,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,255,0.20948137751744786,7.0,Tamil Nadu,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,285,0.21427523832957007,8.0,Tamil Nadu,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,257,0.16578044377256648,9.0,Tamil Nadu,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,252,0.29890160955317685,10.0,Tamil Nadu,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,255,0.22132651958890812,11.0,Tamil Nadu,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,267,0.2450525560607977,12.0,Tamil Nadu,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,257,0.21943235976738695,1.0,Tamil Nadu,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,243,0.36418033247238213,2.0,Tamil Nadu,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,277,0.32905640995945157,3.0,Tamil Nadu,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,257,0.2500309180049811,4.0,Tamil Nadu,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,267,0.2384197353255214,5.0,Tamil Nadu,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,257,0.2518130936276352,6.0,Tamil Nadu,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,263,0.23633432035418533,7.0,Tamil Nadu,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,294,0.21513939162005616,8.0,Tamil Nadu,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,252,0.2900405465392411,9.0,Tamil Nadu,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,254,0.23462300327937335,10.0,Tamil Nadu,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,231,0.11827858550306393,11.0,Tamil Nadu,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,246,0.3241500936700897,12.0,Tamil Nadu,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,263,0.3229142725023309,1.0,Tamil Nadu,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,239,0.19321610300990685,2.0,Tamil Nadu,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,271,0.20116165210807327,3.0,Tamil Nadu,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,267,0.16369564887958968,4.0,Tamil Nadu,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,266,0.18744127082269904,5.0,Tamil Nadu,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,257,0.20020655766427423,6.0,Tamil Nadu,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,254,0.12835196840738408,7.0,Tamil Nadu,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,277,0.177653355368842,8.0,Tamil Nadu,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,252,0.2010802593129817,9.0,Tamil Nadu,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,260,0.13703416674122118,10.0,Tamil Nadu,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,260,0.12958545426024823,11.0,Tamil Nadu,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,269,0.16667307368432188,12.0,Tamil Nadu,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,253,0.22547302170439248,1.0,Tamil Nadu,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,244,0.2212062676300268,2.0,Tamil Nadu,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,267,0.18484781851298512,3.0,Tamil Nadu,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,252,0.20088130980179267,4.0,Tamil Nadu,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,260,0.20646963005907107,5.0,Tamil Nadu,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,252,0.19225880085171307,6.0,Tamil Nadu,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,252,0.13138706462245708,7.0,Tamil Nadu,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,257,0.21435168971462995,8.0,Tamil Nadu,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,267,0.17127407497769617,9.0,Tamil Nadu,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,253,0.20217712904457594,10.0,Tamil Nadu,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,255,0.12767711464106563,11.0,Tamil Nadu,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,267,0.15118765217631938,12.0,Tamil Nadu,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
