District,lat,lon
ARIYALUR,11.1530559,79.2585797
CHENGALPATTU,12.636245,80.0653519
CHENNAI,13.0008413,80.2023035
COIMBATORE,10.8124445,77.0796084
CUDDALORE,11.520207,79.3396356
DHARMAPURI,12.145613,78.1132217
DINDIGUL,10.4256897,77.815664
ERODE,11.4905281,77.3505274
KALLAKURICHI,11.7946847,79.0388211
KANCHIPURAM,12.9647163,79.9839686
KANNIYAKUMARI,8.3279814,77.3541173
KARUR,10.8217671,78.3828654
KRISHNAGIRI,12.5152075,78.0093769
MADURAI,9.9369266,78.007823
NAGAPATTINAM,10.6026202,79.7619348
NAMAKKAL,11.3033889,78.118604
PERAMBALUR,11.2902641,78.9300404
PUDUKKOTTAI,10.2903072,78.8173617
RAMANATHAPURAM,9.5205576,78.5184635
RANIPET,12.9186243,79.4081921
SALEM,11.6469616,78.2106958
SIVAGANGA,9.8671821,78.550483
TENKASI,9.0933908,77.4758373
THANJAVUR,10.659037,79.2014278
THE NILGIRIS,11.4,76.7
THENI,9.8692558,77.4222974
THIRUVALLUR,13.2537619,80.0562572
THIRUVARUR,10.6878621,79.4979437
THOOTHUKUDI,8.8457035,77.9938178
TIRUCHIRAPPALLI,10.8504608,78.724533
TIRUNELVELI,8.5495014,77.5805178
TIRUPATHUR,12.5858719,78.6313559
TIRUPPUR,10.7915267,77.5325466
TIRUVANNAMALAI,12.4289282,78.99915
TUTICORIN,8.8273002,78.1293858
VELLORE,12.9021849,79.061104
VILLUPURAM,11.3972643,79.6956744
VIRUDHUNAGAR,9.4926289,77.8631831
