Year,Month,NDVI
2018,1,0.2825908402586727
2018,2,0.2793401092889468
2018,3,0.1771126712567278
2018,4,0.1267683027987705
2018,5,0.3818179502437122
2018,6,0.1811945634542551
2018,7,0.1199165096575668
2018,8,
2018,9,0.2666612765107862
2018,10,0.4067219917562359
2018,11,0.4437055010906232
2018,12,0.3106637140786664
2019,1,0.3406417936692426
2019,2,0.2781492259983638
2019,3,0.2745381847376175
2019,4,0.2226590399814747
2019,5,0.2477058139389433
2019,6,0.1945143880217589
2019,7,0.1713892530934608
2019,8,0.1596448929104225
2019,9,0.1998208945558514
2019,10,0.2009384646261011
2019,11,0.2679285355838049
2019,12,0.2733122966051372
2020,1,0.3889832951979076
2020,2,0.3271886922506685
2020,3,0.2607266505983918
2020,4,0.2546213221277989
2020,5,0.2310624099172976
2020,6,0.1960805888238317
2020,7,0.2094813775174478
2020,8,0.21427523832957
2020,9,0.1657804437725664
2020,10,0.2989016095531768
2020,11,0.2213265195889081
2020,12,0.2450525560607977
2021,1,0.2194323597673869
2021,2,0.3641803324723821
2021,3,0.3290564099594515
2021,4,0.2500309180049811
2021,5,0.2384197353255214
2021,6,0.2518130936276352
2021,7,0.2363343203541853
2021,8,0.2151393916200561
2021,9,0.2900405465392411
2021,10,0.2346230032793733
2021,11,0.1182785855030639
2021,12,0.3241500936700897
2022,1,0.3229142725023309
2022,2,0.1932161030099068
2022,3,0.2011616521080732
2022,4,0.1636956488795896
2022,5,0.187441270822699
2022,6,0.2002065576642742
2022,7,0.128351968407384
2022,8,0.177653355368842
2022,9,0.2010802593129817
2022,10,0.1370341667412211
2022,11,0.1295854542602482
2022,12,0.1666730736843218
2023,1,0.2254730217043924
2023,2,0.2212062676300268
2023,3,0.1848478185129851
2023,4,0.2008813098017926
2023,5,0.206469630059071
2023,6,0.192258800851713
2023,7,0.131387064622457
2023,8,0.2143516897146299
2023,9,0.1712740749776961
2023,10,0.2021771290445759
2023,11,0.1276771146410656
2023,12,0.1511876521763193
